id,display,reading,difficulty,type
1,残業,ざんぎょう,easy,normal
2,課長,かちょう,easy,normal
3,始発,しはつ,easy,normal
4,終電,しゅうでん,easy,normal
5,会議,かいぎ,easy,normal
6,部長,ぶちょう,easy,normal
7,営業,えいぎょう,easy,normal
8,退勤,たいきん,easy,normal
9,出勤,しゅっきん,easy,normal
10,名刺,めいし,easy,normal
11,定時,ていじ,easy,normal
12,深夜,しんや,easy,normal
13,繁華街,はんかがい,easy,normal
14,路地裏,ろじうら,easy,normal
15,駅前,えきまえ,easy,normal
16,改札,かいさつ,easy,normal
17,通勤,つうきん,easy,normal
18,疲労,ひろう,easy,normal
19,財布,さいふ,easy,normal
20,防御,ぼうぎょ,easy,guard
21,反撃,はんげき,easy,strong
22,連打,れんだ,easy,strong
23,突進,とっしん,easy,strong
24,不良,ふりょう,easy,normal
25,乱入,らんにゅう,easy,strong
26,逆襲,ぎゃくしゅう,easy,strong
27,撃破,げきは,easy,strong
28,気合,きあい,easy,normal
29,勝負,しょうぶ,easy,normal
30,闘魂,とうこん,easy,strong
31,今日も働く,きょうもはたらく,normal,sentence
32,社会をなめるな,しゃかいをなめるな,normal,sentence
33,最近の若いもんは,さいきんのわかいもんは,normal,sentence
34,まだまだ終われん,まだまだおわれん,normal,sentence
35,終電を逃した,しゅうでんをのがした,normal,sentence
36,育毛剤を買わねば,いくもうざいをかわねば,normal,sentence
37,今日も残業確定,きょうもざんぎょうかくてい,normal,sentence
38,ハゲを甘く見るな,はげをあまくみるな,normal,sentence
39,これが昭和魂だ,これがしょうわだましいだ,normal,special
40,部長が怒っている,ぶちょうがおこっている,normal,sentence
41,課長代理クラッシュ,かちょうだいりくらっしゅ,normal,special
42,深夜残業アッパー,しんやざんぎょうあっぱー,normal,special
43,満員電車ラッシュ,まんいんでんしゃらっしゅ,normal,special
44,育毛レーザー発射,いくもうれーざーはっしゃ,normal,special
45,昭和魂タイピング乱舞,しょうわだましいたいぴんぐらんぶ,hard,special
46,営業成績が危ない,えいぎょうせいせきがあぶない,normal,sentence
47,始末書を書かされた,しまつしょをかかされた,normal,sentence
48,部下がまた遅刻した,ぶかがまたちこくした,normal,sentence
49,取引先へ向かう,とりひきさきへむかう,normal,sentence
50,接待ゴルフは地獄だ,せったいごるふはじごくだ,normal,sentence
51,会議資料を修正中,かいぎしりょうをしゅうせいちゅう,normal,sentence
52,気合で乗り切る,きあいでのりきる,normal,strong
53,社会人歴三十年,しゃかいじんれきさんじゅうねん,normal,sentence
54,今月も赤字だ,こんげつもあかじだ,normal,sentence
55,俺はまだ戦える,おれはまだたたかえる,normal,strong
56,全力で反撃する,ぜんりょくではんげきする,normal,strong
57,怒りの連続攻撃,いかりのれんぞくこうげき,normal,strong
58,拳に魂を込めろ,こぶしにたましいをこめろ,normal,strong
59,ネクタイを締め直す,ねくたいをしめなおす,normal,guard
60,タイピング速度上昇,たいぴんぐそくどじょうしょう,normal,buff
61,深夜二時の帰宅,しんやにじのきたく,normal,sentence
62,取引先から電話だ,とりひきさきからでんわだ,normal,sentence
63,プレゼン資料完成,ぷれぜんしりょうかんせい,normal,sentence
64,給料日まであと三日,きゅうりょうびまであとみっか,normal,sentence
65,財布の中身が危険,さいふのなかみがきけん,normal,sentence
66,不良どもを返り討ち,ふりょうどもをかえりうち,hard,strong
67,これでも元運動部だ,これでももとうんどうぶだ,hard,sentence
68,通勤ラッシュをなめるな,つうきんらっしゅをなめるな,hard,sentence
69,営業スマイル全開,えいぎょうすまいるぜんかい,hard,strong
70,育毛剤が切れている,いくもうざいがきれている,hard,sentence
71,おやじの本気を見せる,おやじのほんきをみせる,hard,strong
72,怒涛のタイピング連打,どとうのたいぴんぐれんだ,hard,strong
73,疲労限界突破,ひろうげんかいとっぱ,hard,strong
74,今日も生き延びる,きょうもいきのびる,hard,sentence
75,決戦のネオン街,けっせんのねおんがい,hard,sentence
76,半グレリーダー登場,はんぐれりーだーとうじょう,hard,sentence
77,裏社会のボス襲来,うらしゃかいのぼすしゅうらい,hard,sentence
78,最後の戦いが始まる,さいごのたたかいがはじまる,hard,sentence
79,絶対に負けられない,ぜったいにまけられない,hard,strong
80,伝説のおやじ覚醒,でんせつのおやじかくせい,hard,special
81,魂のキーボード連打,たましいのきーぼーどれんだ,hard,special
82,怒りの育毛レーザー,いかりのいくもうれーざー,hard,special
83,深夜残業地獄突き,しんやざんぎょうじごくづき,hard,special
84,課長代理最終奥義,かちょうだいりさいしゅうおうぎ,hard,special
85,満員電車超特急,まんいんでんしゃちょうとっきゅう,hard,special
86,始発出勤無双乱舞,しはつしゅっきんむそうらんぶ,hard,special
87,社会人魂爆裂拳,しゃかいじんだましいばくれつけん,hard,special
88,深夜の公園で決着,しんやのこうえんでけっちゃく,hard,sentence
89,おやじ狩りを許さない,おやじがりをゆるさない,hard,strong
90,昭和生まれをなめるな,しょうわうまれをなめるな,hard,strong
91,部長の説教三時間,ぶちょうのせっきょうさんじかん,hard,sentence
92,終電ダッシュ開始,しゅうでんだっしゅかいし,hard,strong
93,営業資料再提出,えいぎょうしりょうさいていしゅつ,hard,sentence
94,ネオン街最終決戦,ねおんがいさいしゅうけっせん,hard,sentence
95,気合と根性で突破,きあいとこんじょうでとっぱ,hard,strong
96,拳で語るサラリーマン,こぶしでかたるさらりーまん,hard,strong
97,今日も育毛剤を塗る,きょうもいくもうざいをぬる,hard,sentence
98,社会人の怒りを知れ,しゃかいじんのいかりをしれ,hard,strong
99,絶望からの大逆転,ぜつぼうからのだいぎゃくてん,hard,special
100,これが俺たちのおやじ魂だ,これがおれたちのおやじだましいだ,hard,special
